,Unnamed: 0,time,latitude,longitude
0,0,737029.3541666665,-10.922091839677305,-37.051088172950465
1,1,737029.3555555557,-10.922702100040137,-37.05145516391479
2,2,737029.3569444444,-10.92284060262495,-37.051090500836295
3,3,737029.3583333333,-10.92325864732955,-37.05131349594785
4,4,737029.3597222222,-10.921702447785167,-37.051948396281574
5,5,737029.3611111111,-10.923239329532167,-37.05102138248557
6,6,737029.3624999998,-10.922370838409233,-37.049374981201524
7,7,737029.3638888889,-10.923507315634438,-37.048265703400205
8,8,737029.3652777778,-10.923113206737044,-37.047782938732155
9,9,737029.3666666666,-10.923515241314986,-37.0457258438187
10,10,737029.3680555555,-10.923603566679924,-37.04469554595423
11,11,737029.3694444444,-10.923448603876347,-37.044262454939044
12,12,737029.3708333332,-10.92429551432211,-37.0446318029765
13,13,737029.3722222222,-10.926023357803004,-37.04414081448385
14,14,737029.3736111111,-10.925507589510081,-37.043478565187435
15,15,737029.375,-10.926748194427832,-37.04372798846337
16,16,737029.3763888888,-10.926686065460313,-37.04338131160158
17,17,737029.3777777776,-10.927388934209752,-37.04284106892469
18,18,737029.3791666668,-10.926760188522652,-37.04296917688188
19,19,737029.3805555556,-10.927908069238265,-37.0440976726913
20,20,737029.3819444444,-10.92901085838598,-37.04392786943683
21,21,737029.3833333333,-10.928989207379496,-37.04470101679127
22,22,737029.3847222222,-10.929438990035688,-37.04551076777489
23,23,737029.3861111109,-10.929840244755033,-37.0449357048736
24,24,737029.3875,-10.930433963867667,-37.04604372648442
25,25,737029.3888888889,-10.930066109783798,-37.04576526097701
26,26,737029.3902777777,-10.929685381811106,-37.04723446186401
27,27,737029.3916666666,-10.93064914069771,-37.04649028566686
28,28,737029.3930555554,-10.931721884006915,-37.04711096403729
29,29,737029.3944444443,-10.930846505248637,-37.046193479647386
30,30,737029.3958333333,-10.93127533110414,-37.04795395388262
31,31,737029.3972222222,-10.934026521370068,-37.0488440393423
32,32,737029.3986111111,-10.934375561643467,-37.0501760301409
33,33,737029.3999999998,-10.933641716063693,-37.049438851485455
34,34,737029.4013888887,-10.934526742069767,-37.0494884918269
35,35,737029.4027777779,-10.933791098582036,-37.05028526478088
36,36,737029.4041666667,-10.933819219422276,-37.04985758871315
37,37,737029.4055555555,-10.934332083562579,-37.0507057122781
38,38,737029.4069444444,-10.936076211422673,-37.05115137267366
39,39,737029.4083333333,-10.93723903793118,-37.05027164397061
40,40,737029.409722222,-10.937550101048224,-37.05109527673718
41,41,737029.4111111109,-10.938772656822795,-37.050540393652135
42,42,737029.4125,-10.940080767477944,-37.05036949147025
43,43,737029.4138888889,-10.939900462655077,-37.05143164368274
44,44,737029.4152777777,-10.940602206432104,-37.051515332467716
45,45,737029.4166666665,-10.940003934817783,-37.050585378999045
46,46,737029.4180555557,-10.940922755129971,-37.05092279947557
47,47,737029.4194444444,-10.941289591769465,-37.05014407015761
48,48,737029.4208333333,-10.942855976392183,-37.04818537602709
49,49,737029.4222222222,-10.94462664824484,-37.04678669284653
50,50,737029.4236111111,-10.94398777127749,-37.04712114576196
51,51,737029.4249999998,-10.944224794246564,-37.04610168478344
52,52,737029.4263888889,-10.946365455436142,-37.04606970777966
53,53,737029.4277777778,-10.949271318679896,-37.04562818360001
54,54,737029.4291666666,-10.950895250010264,-37.045671425228726
55,55,737029.4305555555,-10.954362738282962,-37.04517075513815
56,56,737029.4319444444,-10.955158351986439,-37.04651337266739
57,57,737029.4333333332,-10.957514914304811,-37.044962225619095
58,58,737029.4347222222,-10.959724871036613,-37.043271406415975
59,59,737029.4361111111,-10.962544022800216,-37.04276878201893
60,60,737029.4375,-10.966602293873985,-37.04247480899961
61,61,737029.4388888888,-10.96655013994458,-37.04357852151095
62,62,737029.4402777776,-10.967053051859462,-37.0439760072288
63,63,737029.4416666668,-10.96739640867075,-37.04447888790365
64,64,737029.4430555556,-10.968637044046492,-37.04447548461885
65,65,737029.4444444444,-10.969745005949633,-37.044844061866215
66,66,737029.4458333333,-10.972157198543577,-37.04557578611526
67,67,737029.4472222222,-10.972470873045275,-37.04569691606944
68,68,737029.4486111109,-10.973334405139727,-37.046302990777505
69,69,737029.45,-10.975821492477795,-37.04679308344474
70,70,737029.4513888889,-10.975407859329405,-37.0475557028283
71,71,737029.4527777777,-10.976252392503277,-37.04777553181786
72,72,737029.4541666666,-10.975989575405748,-37.04601434165332
73,73,737029.4555555554,-10.975698508970853,-37.0471746619429
74,74,737029.4569444443,-10.975480577673995,-37.046489213682
75,75,737029.4583333333,-10.973265613763648,-37.04642347130318
76,76,737029.4597222222,-10.970964651448018,-37.04527938797527
77,77,737029.4611111111,-10.970598987272648,-37.04545122716945
78,78,737029.4624999998,-10.969759417174272,-37.04443489588999
79,79,737029.4638888887,-10.967499719863362,-37.04469612363394
80,80,737029.4652777779,-10.96743718669433,-37.04396398393553
81,81,737029.4666666667,-10.966788148457393,-37.04378348486219
82,82,737029.4680555555,-10.967128493508325,-37.04343120154154
83,83,737029.4694444444,-10.965304236571964,-37.04285075657831
84,84,737029.4708333333,-10.961918505813873,-37.042780529398755
85,85,737029.472222222,-10.9592370655183,-37.044125289712966
86,86,737029.4736111109,-10.957060882351584,-37.0440655579464
87,87,737029.475,-10.954907583957754,-37.04625483615909
88,88,737029.4763888889,-10.952841550779583,-37.044512676348425
89,89,737029.4777777777,-10.950972297340114,-37.04519598784689
90,90,737029.4791666665,-10.947838141711657,-37.04432849374789
91,91,737029.4805555557,-10.945435629631746,-37.04669574414557
92,92,737029.4819444444,-10.943401760316538,-37.046654776323905
93,93,737029.4833333333,-10.944125817745498,-37.04660958377064
94,94,737029.4847222222,-10.943307388965373,-37.04708227897116
95,95,737029.4861111111,-10.942503671550963,-37.048785807762506
96,96,737029.4874999998,-10.941444373450496,-37.05025525609715
97,97,737029.4888888889,-10.940885514486622,-37.050442215390774
98,98,737029.4902777778,-10.939603645149598,-37.0507365416385
99,99,737029.4916666666,-10.940436885148817,-37.05098623925103
100,100,737029.4930555555,-10.939639351616455,-37.05040560229974
101,101,737029.4944444444,-10.939345423982203,-37.051989707809746
102,102,737029.4958333332,-10.937820769686807,-37.04984675596703
103,103,737029.4972222222,-10.936491354497228,-37.051045625376354
104,104,737029.4986111111,-10.937628032613738,-37.04999875760685
105,105,737029.5,-10.935540151733198,-37.05069134274053
106,106,737029.5013888888,-10.935197325023603,-37.05061468964457
107,107,737029.5027777776,-10.933529977931268,-37.050584001692634
108,108,737029.5041666668,-10.93381262811573,-37.04955161373939
109,109,737029.5055555556,-10.933736692869603,-37.050303452144014
110,110,737029.5069444444,-10.934115204574258,-37.04963355343839
111,111,737029.5083333333,-10.934595627458009,-37.049876003322865
112,112,737029.5097222222,-10.933352558923076,-37.048715457996
113,113,737029.5111111109,-10.93104009072375,-37.04707880901939
114,114,737029.5125,-10.93136864271543,-37.046937197318776
115,115,737029.5138888889,-10.93068679824948,-37.04638707283576
116,116,737029.5152777778,-10.93007388812417,-37.04655277634911
117,117,737029.5166666666,-10.930070081245217,-37.046594314958035
118,118,737029.5180555554,-10.929954991004411,-37.046162389024175
119,119,737029.5194444443,-10.931097646122938,-37.04624113504097
120,120,737029.5208333333,-10.930292756779783,-37.045727046569844
121,121,737029.5222222222,-10.928963762425916,-37.045004261546566
122,122,737029.5236111111,-10.929143684993539,-37.04438469545283
123,123,737029.5249999998,-10.928345858180325,-37.04397046856505
124,124,737029.5263888887,-10.92802189936443,-37.04322894347853
125,125,737029.5277777779,-10.927849137864527,-37.04301238006986
126,126,737029.5291666667,-10.926718078445846,-37.04237160496445
127,127,737029.5305555555,-10.925757850803283,-37.04431644316252
128,128,737029.5319444444,-10.926162051238126,-37.04402027481428
129,129,737029.5333333333,-10.926104039148099,-37.043287271951314
130,130,737029.534722222,-10.926031781512899,-37.04383776089778
131,131,737029.5361111109,-10.923834594540498,-37.04390317405724
132,132,737029.5375,-10.922737372175579,-37.04438975908887
133,133,737029.5388888889,-10.923653383119733,-37.044249075079094
134,134,737029.5402777777,-10.924996746462462,-37.04554687390065
135,135,737029.5416666665,-10.92328851272451,-37.04770083880824
136,136,737029.5430555557,-10.923005206647275,-37.04850463551469
137,137,737029.5444444444,-10.923302145232231,-37.049361377530815
138,138,737029.5458333333,-10.92307738926402,-37.0517645069427
139,139,737029.5472222222,-10.922916360577316,-37.051753134131495
140,140,737029.5486111111,-10.921715211061528,-37.050599891213814
141,141,737029.5499999998,-10.922187060815695,-37.05076207667969
142,142,737029.5513888889,-10.922842883313155,-37.05125838219392
143,143,737029.5527777778,-10.921503845782508,-37.05270172610469
144,144,737029.5541666666,-10.923100795795062,-37.05286326074209
145,145,737029.5555555555,-10.923082501392743,-37.051645708780704
146,146,737029.5569444444,-10.922558890257324,-37.051527972394794
